Feature,Importance
"fBodyAccJerk-bandsEnergy()-33,48",0.00022531941339761844
"fBodyAccJerk-bandsEnergy()-49,64",0.0002250981161419663
"tBodyAcc-arCoeff()-Y,4",0.00022498380042710263
"tBodyGyroJerk-arCoeff()-Y,4",0.00022439869906111734
"fBodyGyro-bandsEnergy()-33,48",0.00022371461691666342
"tBodyGyro-arCoeff()-Y,3",0.00022332338330896073
"fBodyAccJerk-bandsEnergy()-33,40",0.0002223874414008811
tGravityAccMag-min(),0.00021873229186050188
tBodyAcc-mean()-Z,0.00021734996180514788
tGravityAccMag-entropy(),0.00021723480505244066
tBodyGyroMag-max(),0.00021672871764635935
fBodyAcc-maxInds-Z,0.00021642419734937336
"fBodyGyro-bandsEnergy()-25,32",0.00021534217212879154
"fBodyGyro-bandsEnergy()-25,48",0.00021512150059502054
"fBodyAcc-bandsEnergy()-17,24",0.00021507495418214367
"fBodyAccJerk-bandsEnergy()-33,40",0.0002144095721572317
fBodyBodyGyroMag-mean(),0.00021418310750864308
tBodyGyroMag-iqr(),0.0002138849656444564
"tBodyAccJerk-arCoeff()-Z,4",0.00021243148272123463
"fBodyAccJerk-bandsEnergy()-41,48",0.00021109077098591293
"fBodyGyro-bandsEnergy()-57,64",0.00021080507903955062
fBodyAccJerk-meanFreq()-Y,0.00020585582738656745
"fBodyAccJerk-bandsEnergy()-17,24",0.00020498482918106654
tBodyAcc-entropy()-Y,0.0002041975574585267
"fBodyAcc-bandsEnergy()-25,32",0.0002033596423041702
tBodyGyroMag-arCoeff()4,0.00020277729490000105
tBodyAcc-min()-Z,0.00020027470971040008
fBodyBodyGyroJerkMag-skewness(),0.00019991363141747272
fBodyBodyGyroJerkMag-maxInds,0.0001996009872526315
tGravityAcc-entropy()-Z,0.00019888199739322528
"fBodyAcc-bandsEnergy()-25,48",0.00019846165666990287
fBodyAcc-entropy()-Z,0.00019749494346537054
"fBodyAccJerk-bandsEnergy()-33,48",0.0001973677783109041
"tBodyGyroJerk-arCoeff()-Z,2",0.00019736513177056212
"fBodyAcc-bandsEnergy()-33,48",0.00019732691026032176
tBodyAccJerk-iqr()-Z,0.0001965258888787301
"fBodyAccJerk-bandsEnergy()-57,64",0.0001964224801685683
fBodyAccMag-kurtosis(),0.00019638315997020031
"fBodyGyro-bandsEnergy()-9,16",0.00019632804238185186
"tBodyGyro-arCoeff()-X,3",0.00019614842463956686
fBodyAcc-entropy()-Y,0.0001956723191654209
"fBodyAccJerk-bandsEnergy()-33,40",0.00019522720637105565
"tBodyAcc-arCoeff()-X,2",0.00019306033820681474
"tBodyAccJerk-arCoeff()-X,2",0.00019292552237923412
fBodyAcc-min()-Z,0.00019284652289343863
tBodyAccJerkMag-arCoeff()4,0.00018675913656344934
tBodyAccMag-arCoeff()4,0.00018509306319733668
fBodyBodyGyroMag-entropy(),0.0001850612071900534
"tBodyAcc-arCoeff()-Y,1",0.0001830220799671805
fBodyAccJerk-iqr()-X,0.00018241756799311924
fBodyAccMag-skewness(),0.000181863976360893
tBodyAccJerk-mean()-Y,0.00018162522385098813
fBodyBodyGyroJerkMag-iqr(),0.00018034651366944724
fBodyGyro-min()-Y,0.00017985380467721944
"fBodyAccJerk-bandsEnergy()-25,32",0.00017928761941020442
fBodyAccJerk-maxInds-Y,0.00017869875270346995
fBodyAccJerk-min()-Z,0.00017754965532534926
"tBodyAccJerk-arCoeff()-X,3",0.00017699587850065535
fBodyAccMag-maxInds,0.000175917287135231
fBodyAcc-iqr()-Y,0.00017486236474774353
"fBodyGyro-bandsEnergy()-41,48",0.00017451076130468374
"tBodyAccJerk-arCoeff()-Y,4",0.00017257204185431086
fBodyAccMag-min(),0.00017253599314946097
"fBodyGyro-bandsEnergy()-33,40",0.0001717787236862016
fBodyAccJerk-min()-Y,0.00017163318598159316
"fBodyAcc-bandsEnergy()-33,40",0.00017019541366847417
"fBodyAcc-bandsEnergy()-25,32",0.0001687890128277611
fBodyBodyGyroJerkMag-meanFreq(),0.00016642702289325974
fBodyBodyAccJerkMag-iqr(),0.0001647494562952625
tBodyAccJerkMag-arCoeff()3,0.00016445422328126896
"angle(tBodyAccMean,gravity)",0.00016412824818997737
"fBodyGyro-bandsEnergy()-49,64",0.00016299258594124855
"fBodyAcc-bandsEnergy()-33,48",0.00016230808465682848
"fBodyAcc-bandsEnergy()-33,40",0.00016221577562321036
tBodyAccJerkMag-max(),0.0001618991948657627
"tBodyAcc-arCoeff()-Z,3",0.00016149051189592975
"tBodyGyroJerk-arCoeff()-X,4",0.0001613701703078988
fBodyBodyGyroMag-iqr(),0.00016094405283988847
tBodyAccMag-min(),0.0001608169336959856
tBodyAccJerk-mean()-X,0.00016043236634195282
fBodyBodyGyroMag-min(),0.0001590674979550871
